s2nhead,s2layer,s2dim_feedforward,s2non_embedding,s1nhead,s1layer,s1dim_feedforward,s1non_embedding,ratio_s1/s2,alltotal,actual_total
4,36,2432,24918273,1,40,1984,23079681,0.9262,48000000.0,47997954
1,80,1472,35616001,64,24,448,4380417,0.123,40000000.0,39996418
64,96,640,22208769,1,2,3200,1794817,0.0808,24000000.0,24003586
2,42,2112,25614465,1,64,128,6390017,0.2495,32000000.0,32004482
16,10,3264,9072001,32,10,2432,6933761,0.7643,16000000.0,16005762
16,10,2304,6604801,16,6,640,1403649,0.2125,8000000.0,8008450
2,128,2560,92766465,2,4,2880,3244033,0.035,96000000.0,96010498
16,40,2944,32948481,32,24,2176,15038721,0.4564,48000000.0,47987202
32,120,960,37625601,4,3,2816,2387841,0.0635,40000000.0,40013442
8,120,1472,53415681,8,64,384,10600705,0.1985,64000000.0,64016386
8,46,2304,30322177,32,2,3008,1696129,0.0559,32000000.0,32018306
2,72,1408,30871809,1,3,1152,1104897,0.0358,32000000.0,31976706
64,32,3200,28467457,32,5,2496,3557441,0.125,32000000.0,32024898
4,42,3200,37358337,4,80,256,10615041,0.2841,48000000.0,47973378
2,46,1408,19729665,2,16,768,4241665,0.215,24000000.0,23971330
32,104,192,12083969,2,108,168,11881953,0.9833,24000000.0,23965922
4,46,768,12163585,1,16,2624,11873537,0.9762,24000000.0,24037122
2,16,3200,14242049,8,4,1472,1796609,0.1261,16000000.0,16038658
64,64,3072,54812929,2,100,1344,41226241,0.7521,96000000.0,96039170
64,10,2112,6111361,32,4,1600,1928193,0.3155,8000000.0,8039554
32,36,1344,14852097,64,6,448,1107585,0.0746,16000000.0,15959682
32,128,512,25395457,1,80,448,14562561,0.5734,40000000.0,39958018
16,40,2752,30974721,2,128,256,16974081,0.548,48000000.0,47948802
32,40,1664,19790081,16,32,1216,12151041,0.614,32000000.0,31941122
2,120,768,31704321,2,2,168,236369,0.0075,32000000.0,31940690
2,120,1280,47494401,1,2,576,446081,0.0094,48000000.0,47940482
2,42,3072,35976705,64,104,192,12083969,0.3359,48000000.0,48060674
4,64,1216,24285441,4,42,448,7653249,0.3151,32000000.0,31938690
1,5,1728,2570561,8,10,320,1505921,0.5858,4000000.0,4076482
4,46,1728,23512705,1,5,168,565961,0.0241,24000000.0,24078666
64,64,1856,34812161,1,72,448,13107969,0.3765,48000000.0,47920130
16,3,2752,2338497,8,3,1984,1746369,0.7468,4000000.0,4084866
8,72,2816,56925441,1,72,1856,39161601,0.6879,96000000.0,96087042
2,120,384,19861761,1,5,2880,4050881,0.204,24000000.0,23912642
1,8,832,2260737,64,2,3264,1827713,0.8085,4000000.0,4088450
64,108,1344,44523009,4,12,832,3382785,0.076,48000000.0,47905794
16,128,1664,63291649,2,2,896,610561,0.0096,64000000.0,63902210
4,80,384,13246721,8,8,1024,2655489,0.2005,16000000.0,15902210
8,128,640,29606145,16,10,704,2492801,0.0842,32000000.0,32098946
64,52,1344,21445633,4,8,1024,2655489,0.1238,24000000.0,24101122
32,12,832,3382785,16,5,128,514561,0.1521,4000000.0,3897346
4,46,2624,34105217,16,52,1984,29998593,0.8796,64000000.0,64103810
4,64,128,6390017,16,10,320,1505921,0.2357,8000000.0,7895938
64,5,3072,4297601,2,10,1216,3808641,0.8862,8000000.0,8106242
16,46,2048,27295745,4,46,128,4597505,0.1684,32000000.0,31893250
32,64,384,10600705,8,48,168,5290113,0.499,16000000.0,15890818
32,40,2816,31632641,4,2,640,478977,0.0151,32000000.0,32111618
32,64,960,20074753,16,52,640,12037377,0.5996,32000000.0,32112130
32,52,3136,45393921,8,10,704,2492801,0.0549,48000000.0,47886722
